City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Harper,LR,4.375,-7.7169,74.05,88,100,12.86,light rain
180,Sao Joao Del Rei,BR,-21.1356,-44.2617,56.21,64,0,4.56,clear sky
181,Haapiti,PF,-17.5667,-149.8667,82.13,74,43,12.86,scattered clouds
182,Lorengau,PG,-2.0226,147.2712,84.42,61,100,6.42,overcast clouds
183,Bluff,NZ,-46.6,168.3333,50.81,71,99,8.1,overcast clouds
184,Paramonga,PE,-10.6667,-77.8333,61.5,86,60,10.18,broken clouds
185,Port Elizabeth,ZA,-33.918,25.5701,50.29,91,100,13.8,light intensity shower rain
186,Hegang,CN,47.4,130.3667,73.8,59,3,5.19,clear sky
187,Jumla,NP,29.2747,82.1838,62.2,96,100,1.34,overcast clouds
188,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,73.33,74,0,2.64,clear sky
189,Doha,QA,25.2867,51.5333,89.58,64,0,2.3,clear sky
190,Livingston,GB,55.9029,-3.5226,60.94,95,100,5.75,overcast clouds
191,Guerrero Negro,MX,27.9769,-114.0611,74.08,73,0,17.0,clear sky
192,Chernyshevskiy,RU,63.0128,112.4714,50.22,88,100,8.28,overcast clouds
193,Avera,US,33.194,-82.5271,78.31,47,4,4.41,clear sky
194,Meadow Lake,US,34.8014,-106.5436,88.12,33,4,4.72,clear sky
195,Hobyo,SO,5.3505,48.5268,76.03,86,100,19.17,overcast clouds
196,Port Macquarie,AU,-31.4333,152.9167,65.89,40,6,3.49,clear sky
197,Kitimat,CA,54.0524,-128.6534,70.18,21,100,2.95,overcast clouds
198,Tra Vinh,VN,9.9347,106.3453,83.46,75,95,8.34,light rain
199,Huarmey,PE,-10.0681,-78.1522,62.58,84,23,11.32,few clouds
200,Kaitangata,NZ,-46.2817,169.8464,51.31,66,96,8.12,overcast clouds
201,Camabatela,AO,-8.1881,15.375,56.32,94,20,4.79,few clouds
202,Haimen,CN,23.1935,116.6142,87.69,71,10,1.41,clear sky
203,Codrington,AU,-38.2667,141.9667,54.64,78,55,18.95,broken clouds
204,Durban,ZA,-29.8579,31.0292,58.01,75,0,5.01,clear sky
205,Lebork,PL,54.5392,17.7501,65.75,95,50,7.4,scattered clouds
206,Harlingen,US,26.1906,-97.6961,82.35,96,100,5.75,overcast clouds
207,Pumiao,CN,22.75,108.4833,82.8,73,48,6.29,scattered clouds
208,Halifax,CA,44.6453,-63.5724,66.52,86,98,14.97,overcast clouds
209,Stafford,GB,52.8052,-2.1164,70.72,52,46,3.13,scattered clouds
210,Coahuayana,MX,18.7333,-103.6833,77.56,91,100,1.61,overcast clouds
211,Muli,MV,2.9167,73.5667,81.1,76,92,10.96,overcast clouds
212,Acari,PE,-15.4311,-74.6158,62.58,72,78,4.76,broken clouds
213,Arrecife,ES,28.963,-13.5477,73.38,78,0,17.27,clear sky
214,Axim,GH,4.8699,-2.2405,74.82,87,100,13.6,light rain
215,Saint Anthony,US,45.0205,-93.218,69.82,79,0,6.91,clear sky
216,Ayan,RU,56.45,138.1667,56.37,86,60,7.31,broken clouds
217,Richards Bay,ZA,-28.783,32.0377,62.58,54,79,7.65,broken clouds
218,Nauta,PE,-4.5061,-73.5757,72.45,94,99,3.42,overcast clouds
219,Chokurdakh,RU,70.6333,147.9167,55.42,37,7,8.88,clear sky
