City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Prainha,BR,76.75,broken clouds,-1.8,-53.48,Casa Rocha
495,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
496,Fairbanks,US,68.22,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
497,Loandjili,CG,69.91,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
498,Ambovombe,MG,67.12,clear sky,-25.1667,46.0833,RELAHARA
500,Gigmoto,PH,82.99,very heavy rain,13.7796,124.39,Cj's Travellers Inn
501,Sidi Ali,DZ,77.61,overcast clouds,36.0998,0.4206,Ain Taousna
504,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
505,Iquitos,PE,71.64,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
507,Caldas Da Rainha,PT,66.67,clear sky,39.4033,-9.1384,SANA Silver Coast Hotel
509,Souillac,MU,66.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
511,Pauini,BR,79.32,few clouds,-7.7136,-66.9764,Casa do Kiwliks
513,Baiyin,CN,66.27,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
515,Gumla,IN,71.13,moderate rain,23.05,84.55,Hotel Bindesh - Chulhani - Best Hotel and Restaurant in Gumla
516,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
517,Erenhot,CN,68.88,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
518,Coruripe,BR,71.38,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
519,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
520,Unnao,IN,82.38,overcast clouds,26.5333,80.5,OYO 48934 Fantasy Motels
521,Marystown,CA,65.25,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
524,Pombas,CV,76.78,overcast clouds,17.1503,-25.0201,Paul Paradis
525,Marawi,PH,80.22,overcast clouds,7.9986,124.2928,Derogongan Residence
526,Warrington,GB,71.35,clear sky,53.3925,-2.5802,Villaggio Hotel
527,Veraval,IN,79.72,overcast clouds,20.9,70.3667,Lords Inn Somnath
528,Ananindeua,BR,76.91,broken clouds,-1.3656,-48.3722,Casa de Retiro Preciosinas
532,Hirado,JP,83.44,broken clouds,33.3597,129.5531,Samson Hotel
535,Araguacu,BR,78.22,clear sky,-12.9306,-49.8264,Hotel Tocantins
536,Vilhena,BR,71.31,scattered clouds,-12.7406,-60.1458,Hotel Mirage
538,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
539,Lasa,IT,67.08,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
540,Malindi,KE,73.4,scattered clouds,-3.2175,40.1191,African House Resort
541,Superior,US,67.17,fog,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
546,Jaisalmer,IN,80.38,overcast clouds,26.9147,70.9181,Hotel Fifu
548,Picos,BR,72.37,clear sky,-7.0769,-41.4669,Entre Rios Hotel
549,Tura,IN,76.69,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
551,Santa Cruz,BO,78.26,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
552,Kalmunai,LK,82.72,overcast clouds,7.4167,81.8167,VS Villa
554,Santa Isabel Do Rio Negro,BR,72.05,overcast clouds,-0.4139,-65.0192,Hotel GSA
555,Sakskobing,DK,68.11,broken clouds,54.7997,11.626,Hotel Saxkjøbing
556,Itupiranga,BR,75.52,few clouds,-5.1347,-49.3267,Hotel Panorama
558,Bull Savanna,JM,77.49,scattered clouds,17.8868,-77.5902,Big Red's
559,Semnan,IR,76.84,clear sky,35.5729,53.3971,Semnan Tourist Hotel
560,Tagusao,PH,82.26,overcast clouds,9.1924,117.8141,Caycay future beach resort
561,Pacifica,US,78.24,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
563,Tanete,ID,84.2,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
573,Tecoanapa,MX,80.85,overcast clouds,16.5167,-98.75,Hotel Manglares
574,Inirida,CO,72.86,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
580,Dalian,CN,78.73,broken clouds,38.9122,121.6022,Kempinski Hotel Dalian
582,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
584,Darhan,MN,68.14,clear sky,49.4867,105.9228,Buudai Hotel
585,Mackay,AU,76.68,clear sky,-21.15,149.2,International Lodge Motel
587,Solnechnyy,RU,71.46,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
589,Macas,EC,65.35,broken clouds,-2.3167,-78.1167,Casa Upano
590,Nalgonda,IN,76.33,overcast clouds,17.05,79.2667,Sai Krishna Residency
592,Westport,US,73.62,clear sky,41.1415,-73.3579,The Westport Inn
593,Shawville,CA,65.86,overcast clouds,45.6001,-76.4827,Shawville Hotel
594,Dover,US,71.13,broken clouds,39.1582,-75.5244,Bally's Dover Casino Resort
595,Nhulunbuy,AU,81.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
597,Calabozo,VE,71.06,overcast clouds,8.9242,-67.4293,Hotel Giardini
599,Galesong,ID,84.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
604,Nyaunglebin,MM,78.24,overcast clouds,17.95,96.7333,Thi ha
605,Trincomalee,LK,80.98,broken clouds,8.5711,81.2335,Welcombe Hotel
609,Sinnamary,GF,78.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
610,Phalodi,IN,81.18,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
611,Aksaray,TR,71.22,clear sky,38.3726,34.0254,Kuzucular Park Hotel
619,Ahar,IR,65.37,clear sky,38.4774,47.0699,هتل رضوی
620,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
622,Le Vauclin,MQ,79.84,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
623,Kutum,SD,71.24,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
624,Bandipur,NP,71.01,broken clouds,27.9333,84.4167,Bandipur Guest House
630,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
